iteration,label,operation,gas_used,duration_ms,policy_id,outcome
132,createTestPolicy_132,createTestPolicy,227513,0.627,132,
132,finalize_132,finalize,92730,0.590,132,payout
133,createTestPolicy_133,createTestPolicy,227513,0.655,133,
133,expirePolicy_133,expirePolicy,55069,0.486,133,expired
134,createTestPolicy_134,createTestPolicy,227513,0.657,134,
134,finalize_134,finalize,69676,0.515,134,no_payout
135,createTestPolicy_135,createTestPolicy,227513,0.664,135,
135,expirePolicy_135,expirePolicy,55069,0.464,135,expired
136,createTestPolicy_136,createTestPolicy,227513,0.666,136,
136,finalize_136,finalize,92730,0.683,136,payout
137,createTestPolicy_137,createTestPolicy,227513,0.691,137,
137,expirePolicy_137,expirePolicy,55069,0.460,137,expired
138,createTestPolicy_138,createTestPolicy,227513,1.387,138,
138,finalize_138,finalize,69676,0.514,138,no_payout
139,createTestPolicy_139,createTestPolicy,227513,0.652,139,
139,expirePolicy_139,expirePolicy,55069,0.458,139,expired
140,createTestPolicy_140,createTestPolicy,227513,0.636,140,
140,finalize_140,finalize,92730,0.583,140,payout
141,createTestPolicy_141,createTestPolicy,227513,0.671,141,
141,expirePolicy_141,expirePolicy,55069,0.454,141,expired
142,createTestPolicy_142,createTestPolicy,227513,0.644,142,
142,finalize_142,finalize,69676,0.511,142,no_payout
143,createTestPolicy_143,createTestPolicy,227513,0.664,143,
143,expirePolicy_143,expirePolicy,55069,0.461,143,expired
144,createTestPolicy_144,createTestPolicy,227513,0.653,144,
144,finalize_144,finalize,92730,0.630,144,payout
145,createTestPolicy_145,createTestPolicy,227513,0.669,145,
145,expirePolicy_145,expirePolicy,55069,0.467,145,expired
146,createTestPolicy_146,createTestPolicy,227513,0.651,146,
146,finalize_146,finalize,69676,0.521,146,no_payout
147,createTestPolicy_147,createTestPolicy,227513,0.652,147,
147,expirePolicy_147,expirePolicy,55069,0.452,147,expired
148,createTestPolicy_148,createTestPolicy,227513,0.649,148,
148,finalize_148,finalize,92730,0.573,148,payout
149,createTestPolicy_149,createTestPolicy,227513,0.636,149,
149,expirePolicy_149,expirePolicy,55069,0.467,149,expired
150,createTestPolicy_150,createTestPolicy,227513,0.648,150,
150,finalize_150,finalize,69676,0.510,150,no_payout
151,createTestPolicy_151,createTestPolicy,227513,0.663,151,
151,expirePolicy_151,expirePolicy,55069,0.456,151,expired
152,createTestPolicy_152,createTestPolicy,227513,0.652,152,
152,finalize_152,finalize,92730,0.603,152,payout
153,createTestPolicy_153,createTestPolicy,227513,0.648,153,
153,expirePolicy_153,expirePolicy,55069,0.448,153,expired
154,createTestPolicy_154,createTestPolicy,227513,0.708,154,
154,finalize_154,finalize,69676,0.524,154,no_payout
155,createTestPolicy_155,createTestPolicy,227513,1.358,155,
155,expirePolicy_155,expirePolicy,55069,0.449,155,expired
156,createTestPolicy_156,createTestPolicy,227513,0.665,156,
156,finalize_156,finalize,92730,0.580,156,payout
157,createTestPolicy_157,createTestPolicy,227513,0.646,157,
157,expirePolicy_157,expirePolicy,55069,0.447,157,expired
158,createTestPolicy_158,createTestPolicy,227513,0.640,158,
158,finalize_158,finalize,69676,0.526,158,no_payout
159,createTestPolicy_159,createTestPolicy,227513,0.637,159,
159,expirePolicy_159,expirePolicy,55069,0.443,159,expired
160,createTestPolicy_160,createTestPolicy,227513,0.650,160,
160,finalize_160,finalize,92730,0.588,160,payout
161,createTestPolicy_161,createTestPolicy,227513,0.630,161,
161,expirePolicy_161,expirePolicy,55069,0.460,161,expired
162,createTestPolicy_162,createTestPolicy,227513,0.656,162,
162,finalize_162,finalize,69676,0.486,162,no_payout
163,createTestPolicy_163,createTestPolicy,227513,0.646,163,
163,expirePolicy_163,expirePolicy,55069,0.451,163,expired
164,createTestPolicy_164,createTestPolicy,227513,0.644,164,
164,finalize_164,finalize,92730,0.604,164,payout
165,createTestPolicy_165,createTestPolicy,227513,0.640,165,
165,expirePolicy_165,expirePolicy,55069,0.455,165,expired
166,createTestPolicy_166,createTestPolicy,227513,0.653,166,
166,finalize_166,finalize,69676,0.519,166,no_payout
167,createTestPolicy_167,createTestPolicy,227513,0.667,167,
167,expirePolicy_167,expirePolicy,55069,0.458,167,expired
168,createTestPolicy_168,createTestPolicy,227513,0.694,168,
168,finalize_168,finalize,92730,0.683,168,payout
169,createTestPolicy_169,createTestPolicy,227513,0.722,169,
169,expirePolicy_169,expirePolicy,55069,0.485,169,expired
170,createTestPolicy_170,createTestPolicy,227513,0.692,170,
170,finalize_170,finalize,69676,0.546,170,no_payout
171,createTestPolicy_171,createTestPolicy,227513,0.765,171,
171,expirePolicy_171,expirePolicy,55069,0.481,171,expired
172,createTestPolicy_172,createTestPolicy,227513,0.698,172,
172,finalize_172,finalize,92730,0.583,172,payout
173,createTestPolicy_173,createTestPolicy,227513,0.667,173,
173,expirePolicy_173,expirePolicy,55069,0.428,173,expired
174,createTestPolicy_174,createTestPolicy,227513,0.681,174,
174,finalize_174,finalize,69676,0.545,174,no_payout
175,createTestPolicy_175,createTestPolicy,227513,0.648,175,
175,expirePolicy_175,expirePolicy,55069,0.455,175,expired
